,oid,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,pmra,pmdec,plx_value,rvz_radvel,otype,otypes,sp_type,U,B,V,G,R,I,J,H,K,CalType
92,1122868,HD  76035,133.67681126771,32.00115538371999,0.0205,0.013,90,26.979,-14.476,2.8777,-34.48,*,*|NIR,K2,,9.770000457763672,8.520000457763672,8.114859580993652,,,6.315000057220459,5.671000003814697,5.539000034332275,ImagCorr_8.5
93,369840,HD  49880,103.70104402724,62.45991188399999,0.0139,0.0154,90,5.58,-2.47,3.0363,-9.11,*,*|NIR|RG*,G5,,9.670000076293945,8.510000228881836,8.22898006439209,,,6.622000217437744,6.085000038146973,5.939000129699707,ImagCorr_8.5
94,3182069,HD   7109,17.634937232110005,-49.71413660554,0.0117,0.0138,90,3.806,-1.553,2.5905,3.54,*,*|NIR|RG*,K0IIICNII,,9.579999923706055,8.529999732971191,8.259389877319336,,,6.745999813079834,6.23199987411499,6.113999843597412,ImagCorr_8.5
95,3318186,HD 122500,211.83110816836,-77.83317243857,0.0146,0.0161,90,-17.375,-25.924,6.4611,50.35,*,*|NIR,G8IV/V,,9.40999984741211,8.529999732971191,8.279850006103516,,,6.890999794006348,6.428999900817871,6.290999889373779,ImagCorr_8.5
96,197717,HD 199626,313.98102012818,58.06991757938,0.0171,0.0187,90,-18.839,-37.942,3.0895,-4.43,*,*|NIR|RG*,K0,,9.649999618530273,8.479999542236328,8.180179595947266,,,6.5329999923706055,5.988999843597412,5.828000068664551,ImagCorr_8.5
97,11592764,HD 187199,297.64012224248,-43.78608989579,0.0193,0.0158,90,12.59,-35.165,3.8387,-58.38,*,*|NIR|RG*,K0/1III,,9.65999984741211,8.5,8.167030334472656,,,6.580999851226807,5.98199987411499,5.880000114440918,ImagCorr_8.5
98,986914,HD  59602,112.82033512542,15.251278496220003,0.0522,0.0454,90,-9.166,-7.854,2.146,46.56,*,*|NIR|RG*,K0,,9.569999694824219,8.5,8.193499565124512,,,6.51200008392334,5.994999885559082,5.815999984741211,ImagCorr_8.5
99,3244943,HD   5370,13.422932230279999,-73.86939766888,0.0145,0.0125,90,0.878,4.593,4.9897,15.5336,*,*|IR|NIR|X,F6IV/V,,8.979999542236328,8.479999542236328,8.354510307312012,,,7.488999843597412,7.281000137329102,7.190000057220459,ImagCorr_8.5
100,6387878,TYC  155-1456-1,101.07307821127002,5.31259621742,0.0143,0.0133,90,3.675,-3.582,1.0574,21.12,*,*|NIR,,,12.369999885559082,11.539999961853027,10.82229995727539,,,9.041999816894531,8.482000350952148,8.305999755859375,ImagCorr_11.5
101,7474055,TYC 7844-403-1,234.2280773842,-42.939714398910006,0.0143,0.0113,90,-0.925,-1.615,0.7218,-19.47,*,*|NIR,,,12.380000114440918,11.489999771118164,11.624699592590332,,,10.027000427246094,9.52299976348877,9.397000312805176,ImagCorr_11.5
102,7538172,TYC 8223-1116-1,177.06431801287,-50.31969581229,0.0825,0.0847,90,-6.353,-6.151,1.6421,15.137,*,*|NIR,,,12.355999946594238,11.460000038146973,11.421299934387207,,,9.89799976348877,9.425999641418457,9.37600040435791,ImagCorr_11.5
103,7086442,TYC 4895-62-1,145.70578503575,-2.37311048923,0.0215,0.0173,90,-11.488,3.23,2.7787,37.68,*,*|NIR,,,11.970000267028809,11.529999732971191,11.448800086975098,,,10.604000091552734,10.359999656677246,10.315999984741211,ImagCorr_11.5
104,6720012,TYC 2635-1039-1,275.6352486444,36.84273639589999,0.0092,0.01,90,4.91,-7.509,1.5461,5.51,*,*|NIR,,,12.0600004196167,11.520000457763672,11.879300117492676,,,11.20199966430664,11.057999610900879,11.031999588012695,ImagCorr_11.5
105,6639421,TYC 2096-531-1,272.61499065597,26.1941716722,0.0683,0.088,90,-2.016,1.268,0.644,-30.8,*,*|NIR|RG*,,,12.670000076293945,11.470000267028809,11.335800170898438,,,9.593000411987305,9.083000183105469,8.925000190734863,ImagCorr_11.5
106,6841354,TYC 3277-563-1,19.99173028763,52.24570404402,0.014,0.0128,90,13.813,1.125,1.7594,4.82,*,*|NIR,,,12.15999984741211,11.460000038146973,11.181500434875488,,,9.78600025177002,9.515000343322754,9.416999816894531,ImagCorr_11.5
107,6799395,TYC 3084-1017-1,255.50348252168,43.37012553692,0.0095,0.0102,90,0.361,-22.343,1.0466,-28.22,*,*|NIR,,,12.550000190734863,11.510000228881836,11.524700164794922,,,10.133999824523926,9.687999725341797,9.579999923706055,ImagCorr_11.5
108,7592777,TYC 8508-1073-1,65.24817375481,-58.76000440143001,0.0113,0.0116,90,31.496,3.518,2.4667,84.977,*,*|NIR,,,12.039999961853027,11.460000038146973,11.904999732971191,,,10.82699966430664,10.517999649047852,10.449000358581543,ImagCorr_11.5
109,6520466,TYC 1173-1363-1,355.34859738053,11.184728669459998,0.0169,0.0153,90,4.093,-13.262,0.8695,-51.96,*,*|NIR,,,12.510000228881836,11.510000228881836,11.094599723815918,,,9.437999725341797,8.8149995803833,8.718000411987305,ImagCorr_11.5
110,8850571,UCAC2  31878590,235.07500389022,0.17892537853000004,0.0259,0.0169,90,-2.301,2.429,0.823,-51.36,*,*|MIR|NIR|Opt,,,12.58899974822998,11.543999671936035,11.249099731445312,11.279999732971191,10.4399995803833,9.670000076293945,12.708000183105469,9.923999786376953,ImagCorr_11.5
111,7746126,TYC 8869-331-1,67.35268776619,-61.72205815037001,0.0109,0.0108,90,6.894,19.004,1.0309,-1.57118,*,*|NIR,,,12.039999961853027,11.510000228881836,11.543399810791016,,,10.163000106811523,9.680999755859375,9.553000450134277,ImagCorr_11.5
